gene_official,scr_sum,rusp,scr_babydetectv2,scr_babyscreen,scr_babyseq2,scr_beginngs,scr_chenetal,scr_earlycheck,scr_firststeps,scr_generation,scr_gnstar,scr_guardian,scr_jianetal,scr_leeetal,scr_luoetal,scr_neoexome,scr_neoseq,scr_nests,scr_newbornsinsa,scr_puglia,scr_wangetal,scr_foresite,scr_fulgent,scr_igenomix,scr_nurture,scr_perkinelmer,scr_sema,inheritance,penetrance,age_onset_asqm_standard,severity,likelihood,efficacy,acceptability,knowledge,yespct,prevalence_100k,orthogonal_test
PCCB,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,1,3,3,,,
BTD,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,3,3,3,,,
FAH,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,2,3,,,
MMUT,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,2,2,3,,,
ASL,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,2,2,3,,,
ACADVL,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Variable,3,3,3,3,3,,,
PCCA,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,1,3,3,,,
HMGCL,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,2,2,,,
HADHB,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,2,3,2,,,
HADHA,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,3,3,3,,,
GCDH,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Variable,2,3,2,3,3,,,
HLCS,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,3,3,2,,,
GAA,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,3,2,3,,,
PTS,25,Secondary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,3,2,,,
IVD,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,2,3,2,3,,,
SLC22A5,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,1,3,3,2,,,
ACADM,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,3,3,3,,,
QDPR,25,Secondary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,3,2,,,
PAH,25,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,2,3,,,
ARG1,24,Secondary,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,2,2,2,,,
GALT,24,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,2,3,,,
MMAB,24,Core,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,3,3,,,
MMAA,24,Core,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,2,3,3,3,,,
IDUA,24,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,2,1,2,,,
MMACHC,24,Secondary,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,3,3,,,
CPT2,24,Secondary,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Childhood,2,3,3,3,2,,,
G6PC1,24,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,2,3,1,.04,Y
IL2RG,24,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,XLR,HIGH (A),Neonatal,3,3,3,3,3,,,
ASS1,24,Core,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,2,2,2,,,
CPT1A,24,Secondary,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,2,2,3,2,,,
OTC,24,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,XLR,HIGH (A),Neonatal,3,3,3,2,3,1,1.455,Y
BCKDHB,23,Core,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,2,2,3,,,
SLC37A4,23,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,AR,HIGH (A),Infant,2,3,3,2,3,1,.04,Y
SLC25A15,23,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Variable,1,3,2,2,2,1,.07,Y
BCKDHA,23,Core,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,2,2,3,,,
SLC25A20,23,Secondary,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,3,3,2,,,
SLC25A13,23,Secondary,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,1,2,2,3,2,,,
DBT,23,Core,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,AR,HIGH (A),Neonatal,2,3,2,2,3,,,
IDS,23,Core,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,XLR,HIGH (A),Variable,2,3,2,2,2,1,.795,Y
HBB,23,Core,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,AR,HIGH (A),Neonatal,2,2,3,3,3,,,
ACAT1,23,Core,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,3,2,1,.415,Y
CYBB,23,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,XLR,HIGH (A),Infant,2,3,3,2,2,1,.675,Y
CBS,23,Core,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Childhood,2,3,3,2,3,,,
ETFDH,23,Secondary,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,2,2,3,3,,,
TAT,23,Secondary,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,3,2,2,,,
GALK1,23,Secondary,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,3,3,3,,,
CFTR,23,Core,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,2,3,,,
CPS1,23,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,3,2,3,1,.08,Y
MTR,22,Secondary,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,3,2,,,
G6PD,22,,1,1,1,1,1,1,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,XLR,HIGH (A),Variable,1,2,3,3,3,1,,Y
HADH,22,Secondary,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,AR,HIGH (A),Infant,2,3,3,3,2,,,
TSHR,22,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,AR,HIGH (A),Infant,2,2,2,3,3,,,
