gene,name_disease,category_cleaned,scr_sum,rusp,scr_babydetectv2,scr_babyscreen,scr_babyseq2,scr_beginngs,scr_chenetal,scr_earlycheck,scr_firststeps,scr_generation,scr_gnstar,scr_guardian,scr_jianetal,scr_leeetal,scr_luoetal,scr_neoexome,scr_neoseq,scr_nests,scr_newbornsinsa,scr_puglia,scr_wangetal,scr_foresite,scr_fulgent,scr_igenomix,scr_mendelics,scr_nurture,scr_perkinelmer,scr_sema,inheritance_babyseq2,penetrance_babyseq2,age_onset_asqm_standard,severity_asqm,likelihood_asqm,efficacy_asqm,acceptability_asqm,knowledge_asqm,yespct_goldetal,prevalence_100k_goldetaldet,orthogonal_test_goldetaldet
HADHA,"Mitochondrial trifunctional protein deficiency, MIM#609015;LCHAD deficiency, MIM#	609016",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,3,3,3,,,missing
ASL,"Argininosuccinic aciduria, MIM#207900",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,2,2,3,,,missing
ACADM,"Medium chain acyl CoA dehydrogenase deficiency, MIM#201450",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,3,3,3,,,missing
HMGCL,"3-hydroxy-3-methylglutaric aciduria, MIM#246450",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,2,2,2,,,missing
PAH,"Phenylketonuria, MIM#261600",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,2,3,,,missing
ACADVL,"VLCAD deficiency, MIM#201475",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Variable,3,3,3,3,3,,,missing
HLCS,"Holocarboxylase synthetase deficiency, MIM#253270",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,2,3,3,3,2,,,missing
BTD,"Biotinidase deficiency, MIM#253260",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,1,3,3,3,3,,,missing
IVD,"Isovaleric acidemia, MIM#243500",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,2,3,2,3,,,missing
PTS,"Hyperphenylalaninemia, BH4-deficient, A, MIM#261640",Metabolism,26,Secondary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,3,2,,,missing
GCDH,"Glutaric aciduria, type I, MIM#231670",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Variable,2,3,2,3,3,,,missing
PCCA,"Propionic acidaemia, MIM#606054",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,1,3,3,,,missing
HADHB,"Mitochondrial trifunctional protein deficiency, MIM#609015",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Neonatal,3,3,2,3,2,,,missing
QDPR,"Dihydropteridine reductase deficiency, MIM#261630",Metabolism,26,Secondary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,2,3,3,3,2,,,missing
MMUT,"Methylmalonic aciduria, mut(0) type, MIM#	251000",Metabolism,26,Core,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AR,HIGH (A),Infant,3,3,2,2,3,,,missing
